NAME,GENDER
aamir,0
aaron,0
abbot,0
abbott,0
abby,0
abdel,0
abdul,0
abdulkarim,0
abdullah,0
abe,0
abel,0
abelard,0
abraham,0
abram,0
ace,0
adair,0
adam,0
adams,0
adger,0
aditya,0
adnan,0
adolf,0
adolfo,0
adolph,0
adolphe,0
adolpho,0
adolphus,0
adrick,0
adrien,0
agamemnon,0
aguinaldo,0
aguste,0
agustin,0
aharon,0
ahmed,0
ahmet,0
ajay,0
al,0
alaa,0
alain,0
alan,0
alasdair,0
alastair,0
albatros,0
albert,0
alberto,0
alden,0
aldis,0
aldo,0
aldric,0
aldrich,0
aldus,0
alec,0
aleck,0
alejandro,0
aleks,0
alessandro,0
alex,0
alexander,0
alexei,0
alexis,0
alf,0
alfie,0
alfonse,0
alfonso,0
alfonzo,0
alford,0
alfredo,0
algernon,0
ali,0
alic,0
alister,0
alix,0
allah,0
allan,0
allen,0
alley,0
allie,0
allin,0
allyn,0
alonso,0
alonzo,0
aloysius,0
alphonse,0
alston,0
alton,0
alvin,0
alwin,0
amadeus,0
ambros,0
ambrose,0
ambrosi,0
ambrosio,0
ambrosius,0
amery,0
amory,0
amos,0
anatol,0
anatole,0
anatollo,0
anatoly,0
anders,0
andonis,0
andre,0
andrea,0
andreas,0
andrej,0
andres,0
andrew,0
andrey,0
andrus,0
andrzej,0
andy,0
angel,0
angelico,0
angelo,0
angie,0
angus,0
ansell,0
anselm,0
anson,0
anthony,0
antin,0
antoine,0
anton,0
antoni,0
antonin,0
antonino,0
antonio,0
antonius,0
antony,0
anurag,0
apollo,0
apostolos,0
aram,0
archibald,0
archibold,0
archie,0
archon,0
archy,0
arel,0
ari,0
arie,0
ariel,0
aristotle,0
arlo,0
armand,0
armando,0
armond,0
armstrong,0
arne,0
arnie,0
arnold,0
arnoldo,0
aron,0
arron,0
art,0
arther,0
arthur,0
artie,0
artur,0
arturo,0
arvie,0
arvin,0
arvind,0
arvy,0
ash,0
ashby,0
ashish,0
ashley,0
ashton,0
aub,0
aube,0
aubert,0
augie,0
august,0
augustin,0
augusto,0
augustus,0
austen,0
austin,0
ave,0
averell,0
averil,0
averill,0
avery,0
avi,0
avraham,0
avrom,0
axel,0
aylmer,0
aziz,0
bailey,0
bailie,0
baillie,0
baird,0
baldwin,0
bancroft,0
barbabas,0
barclay,0
bard,0
barde,0
barn,0
barnabas,0
barnabe,0
barnaby,0
barnard,0
barnebas,0
barnett,0
barney,0
barnie,0
barny,0
barret,0
barrett,0
barri,0
barrie,0
barris,0
barron,0
barry,0
bart,0
bartel,0
barth,0
barthel,0
bartholemy,0
bartholomeo,0
bartholomeus,0
bartholomew,0
bartie,0
bartlet,0
bartlett,0
bartolemo,0
bartolomei,0
bartolomeo,0
barton,0
barty,0
bary,0
basil,0
baxter,0
bay,0
bayard,0
beale,0
bealle,0
bear,0
bearnard,0
beau,0
beaufort,0
beauregard,0
beck,0
bela,0
ben,0
benedict,0
bengt,0
benito,0
benjamen,0
benji,0
benjie,0
benjy,0
benn,0
bennet,0
bennett,0
bennie,0
benny,0
benson,0
bentley,0
benton,0
beowulf,0
berchtold,0
berk,0
berke,0
berkie,0
berkley,0
bernard,0
bernardo,0
bernd,0
bernhard,0
bernie,0
bert,0
bertram,0
bertrand,0
biff,0
bill,0
billy,0
bing,0
binky,0
bishop,0
bjorn,0
bjorne,0
blaine,0
blair,0
blake,0
blare,0
bo,0
bob,0
bobbie,0
bogdan,0
boniface,0
boris,0
boyce,0
boyd,0
brad,0
braden,0
bradford,0
bradly,0
brady,0
brandon,0
brant,0
brendan,0
brent,0
bret,0
brett,0
brewer,0
brewster,0
brian,0
brice,0
briggs,0
brinkley,0
britt,0
brock,0
broddie,0
broddy,0
broderic,0
broderick,0
brodie,0
brody,0
bronson,0
brook,0
brooke,0
brooks,0
bruce,0
bruno,0
bryant,0
bryce,0
bryn,0
bryon,0
bubba,0
buck,0
bucky,0
bud,0
buddy,0
burgess,0
burke,0
burl,0
burnaby,0
burton,0
buster,0
butch,0
butler,0
byram,0
byron,0
caesar,0
cain,0
cal,0
caldwell,0
caleb,0
calhoun,0
calvin,0
cam,0
cammy,0
carl,0
carleigh,0
carlie,0
carlo,0
carlos,0
carlton,0
carlyle,0
carmine,0
carroll,0
carson,0
carsten,0
carter,0
cary,0
case,0
casey,0
caspar,0
casper,0
cass,0
cat,0
cecil,0
cesar,0
chad,0
chadd,0
chaddie,0
chadwick,0
chaim,0
chalmers,0
chan,0
chance,0
chancey,0
chanderjit,0
chandler,0
chane,0
chariot,0
charles,0
charleton,0
charley,0
charlie,0
charlton,0
chas,0
chase,0
chaunce,0
chauncey,0
che,0
chelton,0
cheston,0
chet,0
chev,0
chevalier,0
chevy,0
chip,0
chris,0
chrissy,0
christ,0
christian,0
christiano,0
christie,0
christof,0
christofer,0
christoph,0
christophe,0
christopher,0
christorpher,0
christy,0
chuck,0
churchill,0
clair,0
claire,0
clancy,0
clarance,0
clare,0
clarence,0
clark,0
clarke,0
claude,0
claudio,0
clay,0
clayborn,0
clayborne,0
clayton,0
cleland,0
clem,0
clemens,0
clement,0
clemente,0
clemmie,0
cletus,0
cleveland,0
cliff,0
clifford,0
clint,0
clinten,0
clinton,0
clive,0
clyde,0
cob,0
cobb,0
cobbie,0
cobby,0
cody,0
colbert,0
coleman,0
colin,0
collin,0
collins,0
conan,0
connie,0
connolly,0
connor,0
conrad,0
conroy,0
constantin,0
constantine,0
constantinos,0
conway,0
cooper,0
corbin,0
corby,0
corey,0
cornelius,0
cornellis,0
corrie,0
cortese,0
corwin,0
cory,0
cosmo,0
costa,0
courtney,0
crawford,0
creighton,0
cris,0
cristopher,0
curt,0
curtice,0
cy,0
cyril,0
cyrill,0
cyrille,0
cyrillus,0
cyrus,0
dabney,0
